account_id,signup_date,cohort_month,country,industry,company_size_bucket,initial_plan,acquisition_channel
ACC-00136,2023-04-27,2023-04-01,UK,SaaS,51-200,Pro,Partner
ACC-00137,2024-06-05,2024-06-01,CA,HealthTech,11-50,Pro,Paid Search
ACC-00138,2023-05-29,2023-05-01,UK,Logistics,11-50,Enterprise,Outbound
ACC-00139,2023-10-10,2023-10-01,CA,Logistics,11-50,Pro,Organic
ACC-00140,2023-01-03,2023-01-01,US,FinTech,11-50,Enterprise,Paid Search
ACC-00141,2023-06-02,2023-06-01,UK,HealthTech,11-50,Pro,Paid Search
ACC-00142,2023-11-26,2023-11-01,NL,HR Tech,1-10,Basic,Outbound
ACC-00143,2024-02-25,2024-02-01,US,EdTech,51-200,Enterprise,Paid Search
ACC-00144,2024-11-10,2024-11-01,AU,EdTech,1-10,Enterprise,Organic
ACC-00145,2024-08-27,2024-08-01,US,SaaS,51-200,Basic,Outbound
ACC-00146,2023-01-16,2023-01-01,CA,HealthTech,51-200,Basic,Paid Search
ACC-00147,2023-09-29,2023-09-01,US,EdTech,11-50,Enterprise,Outbound
ACC-00148,2024-06-30,2024-06-01,UK,FinTech,51-200,Pro,Outbound
ACC-00149,2023-02-06,2023-02-01,FR,SaaS,51-200,Basic,Organic
ACC-00150,2023-04-03,2023-04-01,UK,SaaS,11-50,Enterprise,Paid Search
ACC-00151,2024-12-11,2024-12-01,US,SaaS,11-50,Basic,Paid Search
ACC-00152,2024-03-17,2024-03-01,US,E-Commerce,11-50,Pro,Organic
ACC-00153,2023-03-22,2023-03-01,FR,FinTech,51-200,Pro,Paid Search
ACC-00154,2023-08-26,2023-08-01,UK,FinTech,1-10,Basic,Partner
ACC-00155,2023-10-22,2023-10-01,FR,SaaS,11-50,Basic,Paid Search
ACC-00156,2024-10-16,2024-10-01,SE,EdTech,11-50,Basic,Outbound
ACC-00157,2024-05-09,2024-05-01,US,FinTech,11-50,Basic,Partner
ACC-00158,2023-01-23,2023-01-01,SE,EdTech,1-10,Pro,Partner
ACC-00159,2023-02-20,2023-02-01,NL,EdTech,51-200,Enterprise,Partner
ACC-00160,2023-08-24,2023-08-01,FR,FinTech,11-50,Pro,Partner
ACC-00161,2024-11-06,2024-11-01,CA,SaaS,1-10,Pro,Organic
ACC-00162,2024-03-27,2024-03-01,US,FinTech,1-10,Enterprise,Organic
ACC-00163,2024-03-01,2024-03-01,US,SaaS,11-50,Enterprise,Paid Search
ACC-00164,2023-10-07,2023-10-01,AU,FinTech,51-200,Pro,Partner
ACC-00165,2023-12-13,2023-12-01,AU,HealthTech,1-10,Pro,Organic
ACC-00166,2024-11-23,2024-11-01,CA,HR Tech,200+,Enterprise,Paid Search
ACC-00167,2024-02-09,2024-02-01,US,E-Commerce,11-50,Pro,Partner
ACC-00168,2024-08-21,2024-08-01,UK,E-Commerce,11-50,Pro,Paid Search
ACC-00169,2024-09-26,2024-09-01,NL,E-Commerce,200+,Basic,Organic
ACC-00170,2024-04-20,2024-04-01,NL,FinTech,11-50,Basic,Outbound
ACC-00171,2023-11-08,2023-11-01,SE,SaaS,1-10,Pro,Paid Search
ACC-00172,2024-01-15,2024-01-01,FR,EdTech,200+,Basic,Partner
ACC-00173,2023-06-08,2023-06-01,NL,EdTech,51-200,Pro,Outbound
ACC-00174,2023-10-14,2023-10-01,US,FinTech,11-50,Enterprise,Outbound
ACC-00175,2023-04-12,2023-04-01,SE,FinTech,200+,Pro,Organic
ACC-00176,2023-10-10,2023-10-01,US,SaaS,51-200,Pro,Partner
ACC-00177,2024-10-19,2024-10-01,FR,HR Tech,1-10,Basic,Outbound
ACC-00178,2024-08-01,2024-08-01,US,MarTech,11-50,Pro,Partner
ACC-00179,2023-08-27,2023-08-01,US,SaaS,200+,Basic,Outbound
ACC-00180,2023-05-29,2023-05-01,SE,E-Commerce,51-200,Basic,Outbound
ACC-00181,2023-05-15,2023-05-01,US,MarTech,1-10,Basic,Organic
ACC-00182,2023-02-23,2023-02-01,US,HealthTech,1-10,Basic,Paid Search
ACC-00183,2024-01-06,2024-01-01,DE,SaaS,11-50,Enterprise,Organic
ACC-00184,2024-11-05,2024-11-01,DE,HealthTech,200+,Basic,Paid Search
ACC-00185,2024-02-16,2024-02-01,UK,SaaS,51-200,Basic,Outbound
ACC-00186,2023-11-26,2023-11-01,FR,SaaS,1-10,Pro,Paid Search
ACC-00187,2023-11-29,2023-11-01,UK,E-Commerce,1-10,Pro,Paid Search
ACC-00188,2024-12-19,2024-12-01,US,EdTech,51-200,Pro,Outbound
ACC-00189,2024-03-16,2024-03-01,UK,SaaS,11-50,Pro,Paid Search
ACC-00190,2023-04-08,2023-04-01,US,FinTech,1-10,Enterprise,Partner
ACC-00191,2024-04-30,2024-04-01,US,MarTech,1-10,Basic,Partner
ACC-00192,2023-05-14,2023-05-01,DE,E-Commerce,11-50,Basic,Organic
ACC-00193,2023-12-29,2023-12-01,NL,HR Tech,11-50,Enterprise,Organic
ACC-00194,2023-10-22,2023-10-01,FR,FinTech,11-50,Basic,Partner
ACC-00195,2023-08-18,2023-08-01,AU,FinTech,11-50,Basic,Organic
ACC-00196,2023-08-20,2023-08-01,AU,MarTech,200+,Enterprise,Paid Search
ACC-00197,2024-10-20,2024-10-01,DE,E-Commerce,51-200,Pro,Organic
ACC-00198,2023-10-07,2023-10-01,CA,FinTech,11-50,Basic,Outbound
ACC-00199,2024-08-02,2024-08-01,FR,SaaS,51-200,Enterprise,Organic
ACC-00200,2024-06-27,2024-06-01,US,HealthTech,11-50,Basic,Partner
ACC-00201,2024-08-04,2024-08-01,DE,Logistics,1-10,Pro,Organic
ACC-00202,2023-03-25,2023-03-01,US,EdTech,11-50,Basic,Organic
ACC-00203,2024-06-08,2024-06-01,US,HealthTech,1-10,Pro,Paid Search
ACC-00204,2024-11-14,2024-11-01,US,SaaS,200+,Basic,Organic
ACC-00205,2023-08-05,2023-08-01,CA,MarTech,1-10,Basic,Paid Search
ACC-00206,2024-03-16,2024-03-01,US,FinTech,51-200,Pro,Partner
ACC-00207,2023-12-29,2023-12-01,US,Logistics,1-10,Basic,Outbound
ACC-00208,2023-11-17,2023-11-01,DE,E-Commerce,51-200,Basic,Organic
ACC-00209,2023-01-22,2023-01-01,SE,SaaS,200+,Pro,Partner
ACC-00210,2024-01-06,2024-01-01,US,MarTech,1-10,Pro,Paid Search
ACC-00211,2024-02-10,2024-02-01,NL,EdTech,1-10,Pro,Organic
ACC-00212,2024-10-10,2024-10-01,US,E-Commerce,200+,Basic,Partner
ACC-00213,2024-10-22,2024-10-01,AU,SaaS,1-10,Basic,Paid Search
ACC-00214,2024-11-02,2024-11-01,US,HR Tech,11-50,Pro,Paid Search
ACC-00215,2024-08-16,2024-08-01,UK,Logistics,11-50,Pro,Paid Search
ACC-00216,2024-10-04,2024-10-01,US,HealthTech,11-50,Pro,Partner
ACC-00217,2024-08-28,2024-08-01,US,E-Commerce,11-50,Pro,Organic
ACC-00218,2023-10-21,2023-10-01,US,Logistics,51-200,Pro,Paid Search
ACC-00219,2024-04-18,2024-04-01,DE,HR Tech,51-200,Basic,Outbound
ACC-00220,2024-08-08,2024-08-01,FR,FinTech,11-50,Basic,Organic
ACC-00221,2023-04-16,2023-04-01,AU,MarTech,200+,Basic,Paid Search
ACC-00222,2023-02-10,2023-02-01,US,HealthTech,11-50,Pro,Organic
ACC-00223,2024-01-17,2024-01-01,NL,FinTech,51-200,Pro,Organic
ACC-00224,2024-10-08,2024-10-01,FR,SaaS,1-10,Pro,Organic
ACC-00225,2024-11-03,2024-11-01,SE,E-Commerce,1-10,Basic,Partner
ACC-00226,2023-12-25,2023-12-01,US,EdTech,51-200,Basic,Partner
ACC-00227,2023-03-28,2023-03-01,US,FinTech,51-200,Enterprise,Partner
ACC-00228,2024-12-02,2024-12-01,NL,SaaS,51-200,Pro,Organic
ACC-00229,2023-11-13,2023-11-01,US,SaaS,200+,Pro,Organic
ACC-00230,2023-05-21,2023-05-01,US,FinTech,51-200,Pro,Paid Search
ACC-00231,2024-06-23,2024-06-01,US,FinTech,51-200,Basic,Paid Search
ACC-00232,2023-06-16,2023-06-01,US,EdTech,11-50,Enterprise,Partner
ACC-00233,2023-02-14,2023-02-01,UK,EdTech,1-10,Basic,Organic
ACC-00234,2024-04-04,2024-04-01,US,SaaS,200+,Pro,Outbound
ACC-00235,2023-07-18,2023-07-01,UK,HR Tech,200+,Pro,Organic
ACC-00236,2024-01-27,2024-01-01,DE,HealthTech,1-10,Basic,Paid Search
ACC-00237,2023-09-14,2023-09-01,US,HealthTech,11-50,Enterprise,Partner
ACC-00238,2024-06-12,2024-06-01,NL,FinTech,51-200,Basic,Outbound
ACC-00239,2023-05-31,2023-05-01,AU,SaaS,200+,Enterprise,Outbound
ACC-00240,2023-01-28,2023-01-01,UK,FinTech,11-50,Basic,Organic
ACC-00241,2023-08-18,2023-08-01,US,HR Tech,51-200,Pro,Partner
ACC-00242,2023-05-21,2023-05-01,US,Logistics,11-50,Enterprise,Partner
ACC-00243,2024-04-25,2024-04-01,UK,SaaS,1-10,Basic,Partner
ACC-00244,2024-07-15,2024-07-01,SE,E-Commerce,11-50,Pro,Organic
ACC-00245,2023-05-05,2023-05-01,US,HealthTech,51-200,Pro,Organic
ACC-00246,2024-05-26,2024-05-01,DE,SaaS,11-50,Basic,Organic
ACC-00247,2024-03-15,2024-03-01,US,FinTech,11-50,Basic,Partner
ACC-00248,2024-06-20,2024-06-01,SE,SaaS,11-50,Pro,Outbound
ACC-00249,2024-07-21,2024-07-01,US,Logistics,1-10,Basic,Paid Search
ACC-00250,2023-01-17,2023-01-01,UK,SaaS,1-10,Pro,Organic
ACC-00251,2024-08-18,2024-08-01,CA,FinTech,1-10,Pro,Partner
ACC-00252,2023-06-29,2023-06-01,AU,EdTech,200+,Pro,Organic
ACC-00253,2023-05-19,2023-05-01,US,MarTech,11-50,Basic,Organic
ACC-00254,2023-07-24,2023-07-01,NL,FinTech,11-50,Basic,Partner
ACC-00255,2024-04-29,2024-04-01,US,MarTech,1-10,Basic,Partner
ACC-00256,2024-11-02,2024-11-01,US,SaaS,11-50,Enterprise,Partner
ACC-00257,2024-01-31,2024-01-01,US,SaaS,51-200,Basic,Partner
ACC-00258,2023-10-01,2023-10-01,AU,EdTech,1-10,Pro,Partner
ACC-00259,2024-07-12,2024-07-01,US,SaaS,11-50,Basic,Paid Search
ACC-00260,2024-03-12,2024-03-01,US,HealthTech,11-50,Pro,Outbound
ACC-00261,2024-09-21,2024-09-01,SE,FinTech,200+,Enterprise,Organic
ACC-00262,2024-10-14,2024-10-01,UK,E-Commerce,51-200,Basic,Organic
ACC-00263,2024-09-14,2024-09-01,FR,HealthTech,1-10,Basic,Paid Search
ACC-00264,2024-01-06,2024-01-01,UK,E-Commerce,11-50,Pro,Outbound
ACC-00265,2024-01-16,2024-01-01,UK,SaaS,1-10,Basic,Organic
ACC-00266,2023-10-13,2023-10-01,US,SaaS,51-200,Pro,Paid Search
ACC-00267,2024-07-29,2024-07-01,US,MarTech,51-200,Basic,Paid Search
ACC-00268,2024-12-11,2024-12-01,NL,HealthTech,1-10,Enterprise,Paid Search
ACC-00269,2024-12-31,2024-12-01,UK,SaaS,51-200,Enterprise,Organic
ACC-00270,2023-12-22,2023-12-01,CA,E-Commerce,1-10,Basic,Organic
ACC-00271,2024-12-27,2024-12-01,NL,E-Commerce,51-200,Pro,Organic
ACC-00272,2023-07-25,2023-07-01,AU,SaaS,11-50,Basic,Paid Search
ACC-00273,2024-04-23,2024-04-01,AU,E-Commerce,11-50,Basic,Organic
ACC-00274,2024-05-05,2024-05-01,DE,MarTech,51-200,Basic,Outbound
ACC-00275,2024-10-19,2024-10-01,US,HealthTech,11-50,Basic,Partner
ACC-00276,2024-07-18,2024-07-01,FR,SaaS,200+,Basic,Outbound
ACC-00277,2023-02-26,2023-02-01,AU,E-Commerce,11-50,Basic,Outbound
ACC-00278,2023-08-19,2023-08-01,US,HR Tech,51-200,Enterprise,Organic
ACC-00279,2024-10-12,2024-10-01,SE,FinTech,11-50,Pro,Organic
ACC-00280,2024-10-18,2024-10-01,US,HR Tech,1-10,Pro,Partner
ACC-00281,2024-09-11,2024-09-01,US,Logistics,1-10,Enterprise,Organic
ACC-00282,2024-10-18,2024-10-01,CA,FinTech,1-10,Pro,Paid Search
ACC-00283,2023-02-01,2023-02-01,UK,E-Commerce,1-10,Enterprise,Paid Search
ACC-00284,2024-12-02,2024-12-01,UK,HealthTech,51-200,Basic,Paid Search
ACC-00285,2024-04-20,2024-04-01,US,E-Commerce,11-50,Pro,Partner
ACC-00286,2023-12-20,2023-12-01,SE,SaaS,11-50,Pro,Organic
ACC-00287,2024-04-22,2024-04-01,US,HealthTech,1-10,Basic,Outbound
ACC-00288,2024-09-22,2024-09-01,UK,HR Tech,200+,Enterprise,Outbound
ACC-00289,2023-11-17,2023-11-01,US,SaaS,200+,Pro,Outbound
ACC-00290,2024-05-24,2024-05-01,US,HR Tech,11-50,Enterprise,Organic
ACC-00291,2023-12-28,2023-12-01,US,FinTech,11-50,Enterprise,Partner
ACC-00292,2023-10-20,2023-10-01,DE,MarTech,11-50,Enterprise,Partner
ACC-00293,2024-02-17,2024-02-01,UK,HealthTech,11-50,Basic,Paid Search
ACC-00294,2023-03-17,2023-03-01,UK,HealthTech,11-50,Enterprise,Paid Search
ACC-00295,2024-09-17,2024-09-01,US,HR Tech,11-50,Pro,Organic
ACC-00296,2024-01-10,2024-01-01,CA,SaaS,11-50,Pro,Organic
ACC-00297,2023-05-21,2023-05-01,CA,MarTech,11-50,Basic,Outbound
ACC-00298,2023-05-24,2023-05-01,US,E-Commerce,1-10,Enterprise,Partner
ACC-00299,2023-11-03,2023-11-01,DE,E-Commerce,11-50,Pro,Paid Search
ACC-00300,2024-05-01,2024-05-01,AU,FinTech,51-200,Enterprise,Paid Search
ACC-00301,2024-12-05,2024-12-01,FR,E-Commerce,1-10,Pro,Outbound
ACC-00302,2024-08-15,2024-08-01,DE,EdTech,11-50,Basic,Paid Search
ACC-00303,2024-09-26,2024-09-01,CA,FinTech,51-200,Basic,Paid Search
ACC-00304,2024-12-18,2024-12-01,US,SaaS,11-50,Basic,Partner
ACC-00305,2024-02-25,2024-02-01,DE,E-Commerce,11-50,Enterprise,Partner
ACC-00306,2024-12-23,2024-12-01,US,SaaS,11-50,Pro,Paid Search
ACC-00307,2023-11-18,2023-11-01,SE,HealthTech,11-50,Pro,Partner
ACC-00308,2024-11-28,2024-11-01,FR,EdTech,11-50,Basic,Organic
ACC-00309,2024-07-25,2024-07-01,US,HR Tech,200+,Pro,Partner
ACC-00310,2024-12-07,2024-12-01,CA,FinTech,11-50,Enterprise,Partner
ACC-00311,2023-10-08,2023-10-01,US,E-Commerce,11-50,Enterprise,Paid Search
ACC-00312,2023-12-20,2023-12-01,SE,MarTech,1-10,Basic,Partner
ACC-00313,2023-12-21,2023-12-01,NL,EdTech,51-200,Basic,Partner
ACC-00314,2023-10-05,2023-10-01,SE,EdTech,1-10,Pro,Paid Search
ACC-00315,2023-09-06,2023-09-01,US,Logistics,1-10,Basic,Organic
ACC-00316,2023-12-05,2023-12-01,CA,SaaS,51-200,Basic,Paid Search
ACC-00317,2023-06-11,2023-06-01,UK,HR Tech,51-200,Pro,Organic
ACC-00318,2023-10-22,2023-10-01,US,E-Commerce,200+,Basic,Paid Search
ACC-00319,2024-07-01,2024-07-01,CA,Logistics,1-10,Enterprise,Paid Search
ACC-00320,2023-06-30,2023-06-01,SE,SaaS,51-200,Pro,Organic
ACC-00321,2023-10-24,2023-10-01,NL,SaaS,11-50,Basic,Outbound
ACC-00322,2023-10-19,2023-10-01,UK,E-Commerce,11-50,Enterprise,Organic
ACC-00323,2024-05-31,2024-05-01,UK,SaaS,1-10,Basic,Paid Search
ACC-00324,2023-09-21,2023-09-01,CA,SaaS,11-50,Basic,Partner
ACC-00325,2023-07-17,2023-07-01,US,Logistics,51-200,Enterprise,Paid Search
ACC-00326,2023-03-30,2023-03-01,UK,SaaS,200+,Pro,Outbound
ACC-00327,2023-01-07,2023-01-01,US,SaaS,51-200,Enterprise,Organic
ACC-00328,2024-08-09,2024-08-01,US,EdTech,51-200,Basic,Organic
ACC-00329,2023-11-11,2023-11-01,US,EdTech,200+,Enterprise,Partner
ACC-00330,2024-12-07,2024-12-01,US,Logistics,1-10,Pro,Organic
